"Feature","Gain","Cover","Frequency","pos","explicacion_final"
"canarito111",0.000459762361816937,0.000604409612216444,0.00116090085906664,409,NA
"iter_5_var_520",0.000459359588181528,0.000392484710935706,0.00116090085906664,410,"((((mpayroll_+_mtarjeta_visa_consumo)_x_(mcaja_ahorro_+_mprestamos_personales))_+_((ctrx_quarter_+_mpayroll)_x_(mtarjeta_visa_consumo_+_mpasivos_margen)))_+_(((mprestamos_personales_+_mcuentas_saldo)_+_(mpayroll_x_ctarjeta_visa_transacciones))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo))))_/_((((mpayroll_+_mtarjeta_visa_consumo)_x_(mcaja_ahorro_+_mprestamos_personales))_+_((ctrx_quarter_+_mpayroll)_x_(mtarjeta_visa_consumo_+_mpasivos_margen)))_+_(((mcaja_ahorro_+_mprestamos_personales)_x_(mpayroll_+_Visa_mpagominimo))_x_(cproductos)))"
"iter_5_var_790",0.00045933185960153,0.000875489935620958,0.000812630601346645,411,"((((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo))_x_((mpayroll_+_mtarjeta_visa_consumo)_+_(mprestamos_personales_+_mcuentas_saldo)))_+_(((ctrx_quarter_+_mpayroll)_x_(mcaja_ahorro_+_mprestamos_personales))_+_(ctrx_quarter_x_mrentabilidad_annual)))_+_((ccomisiones_mantenimiento_tend6_/_mcaja_ahorro_lag1)_/_(mprestamos_personales_+_mtarjeta_visa_consumo))"
"iter_5_var_175",0.000459304939870616,0.000339911661465447,0.000928720687253309,412,"((((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo))_x_((mpayroll_+_mtarjeta_visa_consumo)_+_(mprestamos_personales_+_mcuentas_saldo)))_+_(((ctrx_quarter_+_mpayroll)_x_(mcaja_ahorro_+_mprestamos_personales))_+_(ctrx_quarter_x_mrentabilidad_annual)))_x_((((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo))_x_((mpayroll_+_mtarjeta_visa_consumo)_+_(mprestamos_personales_+_mcuentas_saldo)))_+_(((ctrx_quarter_+_mpayroll)_x_(mcaja_ahorro_+_mprestamos_personales))_+_(ctrx_quarter_x_mrentabilidad_annual)))"
"canarito114",0.000458220723928808,0.000202042749124673,0.00139308103087996,413,NA
"canarito35",0.000458013766489193,0.00269091862527199,0.00139308103087996,414,NA
"canarito75",0.000457112340952157,0.00137477063524846,0.0012769909449733,415,NA
"canarito165",0.000456718055488136,0.000285001268180883,0.00104481077315997,416,NA
"canarito147",0.000456559115457348,0.00118762845293997,0.00116090085906664,417,NA
"iter_5_var_8",0.000456417168373276,0.00077183904926753,0.0012769909449733,418,"((((mcaja_ahorro_+_mprestamos_personales)_+_(mtarjeta_visa_consumo_+_mpasivos_margen_lag1))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo)))_+_(((mpayroll_+_mtarjeta_visa_consumo)_+_(mprestamos_personales_+_mcuentas_saldo))_+_((ctrx_quarter_+_mpayroll)_x_(mtarjeta_visa_consumo_+_mpasivos_margen))))_x_((((mpayroll_+_mtarjeta_visa_consumo)_+_(mcaja_ahorro_+_mprestamos_personales))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo)))_+_(((mpayroll_+_mtarjeta_visa_consumo)_x_(mcaja_ahorro_+_mprestamos_personales))_+_((ctrx_quarter_+_mpayroll)_x_(mtarjeta_visa_consumo_+_mpasivos_margen))))"
"iter_5_var_75",0.000456174556344249,0.0007559760467631,0.00116090085906664,419,"((((mpayroll_+_mtarjeta_visa_consumo)_+_(mcaja_ahorro_+_mprestamos_personales))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo)))_+_(((mpayroll_+_mtarjeta_visa_consumo)_x_(mcaja_ahorro_+_mprestamos_personales))_+_(ctrx_quarter_x_mrentabilidad_annual)))_x_((((mpayroll_+_mtarjeta_visa_consumo)_+_(mcaja_ahorro_+_mprestamos_personales))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo)))_+_(((mpayroll_+_mtarjeta_visa_consumo)_x_(mcaja_ahorro_+_mprestamos_personales))_+_(ctrx_quarter_x_mrentabilidad_annual)))"
"iter_5_var_196",0.000449996403381571,0.00500213918518064,0.00150917111678663,420,"((((mpayroll_+_mtarjeta_visa_consumo)_x_(mcaja_ahorro_+_mprestamos_personales))_+_((ctrx_quarter_+_mpayroll)_x_(mtarjeta_visa_consumo_+_mpasivos_margen)))_+_(((mprestamos_personales_+_mcuentas_saldo)_+_(mpayroll_x_ctarjeta_visa_transacciones))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo))))_x_((((mpayroll_+_mtarjeta_visa_consumo)_x_(mcaja_ahorro_+_mprestamos_personales))_+_((ctrx_quarter_+_mpayroll)_x_(mtarjeta_visa_consumo_+_mpasivos_margen)))_+_(((mprestamos_personales_+_mcuentas_saldo)_+_(mpayroll_x_ctarjeta_visa_transacciones))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo))))"
"canarito21",0.000445386473587144,0.000253395567633054,0.00116090085906664,421,NA
"iter_5_var_766",0.000445205087401307,0.000251453509904993,0.0012769909449733,422,"((((mprestamos_personales_+_mcuentas_saldo)_+_(mpayroll_x_ctarjeta_visa_transacciones))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo)))_+_(((ctrx_quarter_+_mpayroll)_x_(mcaja_ahorro_+_mprestamos_personales))_+_(ctrx_quarter_x_mrentabilidad_annual)))_+_((((mprestamos_personales_+_mcuentas_saldo)_+_(mpayroll_x_ctarjeta_visa_transacciones))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo)))_+_(((ctrx_quarter_+_mpayroll)_x_(mcaja_ahorro_+_mprestamos_personales))_+_(ctrx_quarter_x_mrentabilidad_annual)))"
"iter_5_var_27",0.00044490911030874,0.00118058204879391,0.00104481077315997,423,"((((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo))_x_((mpayroll_+_mtarjeta_visa_consumo)_+_(mprestamos_personales_+_mcuentas_saldo)))_+_(((mpayroll_+_mtarjeta_visa_consumo)_x_(mcaja_ahorro_+_mprestamos_personales))_+_(ctrx_quarter_x_mrentabilidad_annual)))_x_((((mpayroll_+_mtarjeta_visa_consumo)_+_(mcaja_ahorro_+_mprestamos_personales))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo)))_+_(((mpayroll_+_mtarjeta_visa_consumo)_x_(mcaja_ahorro_+_mprestamos_personales))_+_((ctrx_quarter_+_mpayroll)_x_(mtarjeta_visa_consumo_+_mpasivos_margen))))"
